Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,2,0,2,,,,,,,,,,,,,,,,,,,,,
,GRAY (40199),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,14,,30,15,59,,,,,,,,,,,,,,,,,,,,,
,PINK (40209),,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,0,0,4,,,,,,,,,,,,,,,,,,,,,
,Total,,19,,32,15,66,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LADIES LOAFERS,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,ladies shoes,,,,,,,,,,0.00,59.95
,,,3/4,,5/6,7/8,Total,,,,,,,,,,,,,,,,,,,,,
,BEIGE (42982),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,1,0,3,,,,,,,,,,,,,,,,,,,,,
,MINK (42987),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,0,0,3,,,,,,,,,,,,,,,,,,,,,
,NAVY (42977),,0,,-1,0,-1,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,TAN (42972),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Total,,6,,0,0,6,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LADIES MOCCASSINS,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,ladies s/skin slipper shoes,,,,,,,,,,0.00,59.99
,,,3/4,,5/6,7/8,Total,,,,,,,,,,,,,,,,,,,,,
,BLK/WHITE (39290),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,BROWN (35248),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,6,,0,1,7,,,,,,,,,,,,,,,,,,,,,
,GRAY (40194),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,7,,0,1,8,,,,,,,,,,,,,,,,,,,,,
,LT.GRAY (39285),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,MINK (42917),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,MUSTARD (39270),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,TAN (39295),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,
,Total,,14,,0,3,17,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LADIES SCUFFS,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,fluffy slippers,,,,,,,,,,0.00,55.00
,,,3/4,,Total,,,,,,,,,,,,,,,,,,,,,,,
,MINK (42937),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,NAVY (42942),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,TAUPE (42947),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,Total,,6,,6,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LADIES SHEEPSKIN INSOLES,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,LADIES SHEEPSKIN INSOLES,,,,,,,,,,0.00,12.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,NATURAL (42350),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,6,,6,,,,,,,,,,,,,,,,,,,,,,,
,Total,,6,,6,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LADIES SLIPPERS,,,,ACCESSORIES,,,,SHOES,,,,13SS,,,,,ladies slippers,,,,,,,,,,15.00,79.99
,,,3/4,,5/6,7/8,Total,,,,,,,,,,,,,,,,,,,,,
,GRAY (22388),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,TAN (22382),,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LADIES ZIP BOOT,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,S/SKIN BOOT,,,,,,,,,,0.00,90.00
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,BROWN (35373),,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,2,,0,0,0,,0,2,,,,,,,,,,,,,,,,,,
,Total,,2,,0,0,0,,0,2,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LKM-284,,,,MENS JACKETS,,,,LEATHER JACKET,,,,NO SEASON,,,,,6 LINE SHOULDER STITICHING,,,,,,,,,,115.00,289.00
,,,S,,M,L,XL,,2XL,Total,,,,,,,,,,,,,,,,,,
,BLACK (12919),,,,,,0,,,0,,,,,,,,,,,,,,,,,,
,BROWN (12933),,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,,,,0,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
lottie-boots,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,sheepskin boots,,,,,,,,,,0.00,170.00
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,TAN (53728),Ash,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,2,,3,4,1,,1,11,,,,,,,,,,,,,,,,,,
,Total,,2,,3,4,1,,1,11,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MAISIE,,,,LADIES JACKETS,,,,LADIES JACKETS,,,,NO SEASON,,,,,ladies hooded coat,,,,,,,,,,0.00,197.86
,,,8,,10,12,14,,16,18,20,,Total,,,,,,,,,,,,,,,
,BROWN (42168),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,1,,0,0,2,,0,2,0,,5,,,,,,,,,,,,,,,
,RUST (42156),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,3,,0,3,1,,1,0,0,,8,,,,,,,,,,,,,,,
,Total,,4,,0,3,3,,1,2,0,,13,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MAVERICK,,,,MENS SHOES,,,,SLIPPERS,,,,NO SEASON,,,,,Mens slippers,,,,,,,,,,0.00,135.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BROWN (51539),Ash,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,2,,2,2,0,,0,,6,,,,,,,,,,,,,,,,,
,CHESTNUT (51560),Ash,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
,,WEB,2,,2,1,0,,0,,5,,,,,,,,,,,,,,,,,
,NAVY (51581),Ash,0,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,1,,4,3,1,,0,0,9,,,,,,,,,,,,,,,,,
,Total,,5,,8,6,1,,0,0,20,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
megan,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,ladies sheepskin moccassins,,,,,,,,,,27.95,69.95
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,NAVY (44935),,,,0,,,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,3,2,3,,2,11,,,,,,,,,,,,,,,,,,
,TAN (44946),,,,0,0,,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,,,,0,,,,,,,,,,,,,,,,,,
,,SOL,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,3,3,,2,12,,,,,,,,,,,,,,,,,,
,Total,,3,,5,5,6,,4,23,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MENS BOOTY,,,,MENS SHOES,,,,SLIPPERS,,,,NO SEASON,,,,,mens sheepskin bootys,,,,,,,,,,0.00,59.99
,,,7/8,,9/10,11/12,Total,,,,,,,,,,,,,,,,,,,,,
,BROWN (40234),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,GRAY (40229),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MENS MOCCASSINS,,,,MENS SHOES,,,,SLIPPERS,,,,NO SEASON,,,,,s/skin slipper shoe,,,,,,,,,,0.00,64.99
,,,7/8,,9/10,11/12,Total,,,,,,,,,,,,,,,,,,,,,
,BLK NAP/GREY (39369),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,BLK/GRAY (39364),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,GRAY (39359),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,NAVY/NAVY (39374),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,5,0,5,,,,,,,,,,,,,,,,,,,,,
,TAN/BEIGE (39379),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,0,0,4,,,,,,,,,,,,,,,,,,,,,
,Total,,4,,5,0,9,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MENS SHEEPSKIN INSOLES,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,MENS SHEEPSKIN INSOLES,,,,,,,,,,0.00,12.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,NATURAL (42349),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MENS SLIP ON,,,,MENS SHOES,,,,SLIPPERS,,,,NO SEASON,,,,,MENS SHEEPSKIN SLIP ON,,,,,,,,,,0.00,69.99
,,,7/8,,9/10,11/12,Total,,,,,,,,,,,,,,,,,,,,,
,GRAY (39492),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
MENS SLIPPERS,,,,MENS SHOES,,,,SLIPPERS,,,,NO SEASON,,,,,slippers,,,,,,,,,,0.00,79.99
,,,7/8,,9/10,11/12,Total,,,,,,,,,,,,,,,,,,,,,
,BLK NAP/GREY (39399),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,BLK/GRAY (39394),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,26,0,26,,,,,,,,,,,,,,,,,,,,,
,BROWN (35228),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,0,-2,-3,,,,,,,,,,,,,,,,,,,,,
,camo green (49564),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,CHESTNUT (35233),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,GRAY (35211),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,2,0,2,,,,,,,,,,,,,,,,,,,,,
,,WEB,19,,80,38,137,,,,,,,,,,,,,,,,,,,,,
,GREEN (39497),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,NAVY/NAVY (39384),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,40,35,74,,,,,,,,,,,,,,,,,,,,,
,TAN/BEIGE (39389),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,12,,0,11,23,,,,,,,,,,,,,,,,,,,,,
,Total,,32,,148,83,263,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
nancy-slippers,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,ladies cushioned slipper,,,,,,,,,,0.00,95.00
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,BEIGE (53581),WEB,0,,2,1,2,,1,6,,,,,,,,,,,,,,,,,,
,Total,,0,,2,1,2,,1,6,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
NLG-347,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,TOTE BAG,,,,,,,,,,5.00,79.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (20958),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BLUE/WASH (20961),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
NV 47,,,,MENS S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,side zip mcoy,,,,,,,,,,225.00,507.89
,,,XS,,S,M,L,,XL,2XL,3XL,,4XL,,5XL,Total,,,,,,,,,,,,
,BRN/CREAM (26091),,0,,0,0,0,,0,0,0,,,,0,0,,,,,,,,,,,,
,,Fen,0,,0,,,,0,0,0,,0,,,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,0,,,,,,,,,,,,
,,SOL,,,0,,,,0,0,,,0,,,0,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,1,,0,,,1,,,,,,,,,,,,
,BRN/DK GINGER (33266),,0,,,,,,0,0,0,,,,,0,,,,,,,,,,,,
,,Fen,0,,0,,,,,0,0,,0,,,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,0,,,,,,,,,,,,
,,SOL,0,,0,,,,,,0,,0,,,0,,,,,,,,,,,,
,,WEB,1,,0,0,0,,0,0,0,,0,,,1,,,,,,,,,,,,
,Total,,1,,0,0,0,,0,0,1,,0,,0,2,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
OWEN,,,,MENS JACKETS,,,,LEATHER JACKET,,,,NO SEASON,,,,,mens hunter waistcoat,,,,,,,,,,4.59,165.15
,,,S,,M,L,XL,,2XL,3XL,Total,,,,,,,,,,,,,,,,,
,BROWN (42195),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,0,,1,0,2,,,,,,,,,,,,,,,,,
,GREEN (50375),,,,,0,,,,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,,,,,0,,,,,,,,,,,,,,,,,
,,WEB,,,,0,,,,,0,,,,,,,,,,,,,,,,,
,RUST (42180),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,0,,1,0,0,,0,0,1,,,,,,,,,,,,,,,,,
,,WEB,2,,1,0,0,,0,0,3,,,,,,,,,,,,,,,,,
,Total,,3,,2,0,0,,1,0,6,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
PARKER,,,,MENS JACKETS,,,,LEATHER JACKET,,,,NO SEASON,,,,,3/4 toggle parker,,,,,,,,,,100.00,249.99
,,,S,,2XL,Total,,,,,,,,,,,,,,,,,,,,,,
,BROWN/BUFF (16481),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
PENLOPE,,,,LADIES JACKETS,,,,LEATHER JACKETS,,,,NO SEASON,,,,,LADIES COUNTRY SHEEP,,,,,,,,,,90.00,225.88
,,,8,,10,12,14,,16,18,20,,Total,,,,,,,,,,,,,,,
,BLACK/NAPP (4071),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,,,0,0,0,,,,,,0,,,,,,,,,,,,,,,
,,WEB,3,,1,0,1,,0,0,0,,5,,,,,,,,,,,,,,,
,BRN/SUEDE (18850),,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,WEB,,,1,1,1,,1,1,,,5,,,,,,,,,,,,,,,
,BROWN/NAPP (4083),,0,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,Fen,0,,,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,WEB,0,,,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,SAND/SUE (18862),,,,0,0,0,,0,,,,0,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,WEB,,,2,3,3,,3,1,,,12,,,,,,,,,,,,,,,
,Total,,3,,4,4,5,,4,2,0,,22,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
petra-shoes,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,sheepskin shoes,,,,,,,,,,0.00,120.00
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,TAN (53644),Ash,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,3,3,2,,2,11,,,,,,,,,,,,,,,,,,
,Total,,1,,3,3,2,,2,11,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
pippa,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,ladies pippa slippers,,,,,,,,,,0.00,79.99
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
